num_acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200900000361;0;7;0;0;0;4;1;D01
200900000361;0;7;0;2;2;1;3;A01
200900000361;0;7;0;0;9;4;1;B01
200900000361;0;7;0;0;2;4;1;C01
200900000362;0;7;0;0;2;4;2;B01
200900000362;0;20;0;0;2;1;2;A01
200900000363;0;7;0;0;2;3;1;B01
200900000363;0;2;0;0;2;1;1;A01
200900000364;0;7;0;0;2;6;15;B01
200900000364;0;30;0;0;2;1;17;A01
200900000365;0;7;0;0;1;2;1;A01
200900000366;0;32;0;0;0;1;1;A01
200900000367;0;7;0;0;2;4;2;B01
200900000367;0;7;0;0;2;1;2;A01
200900000368;0;7;0;0;2;4;2;D01
200900000368;0;31;0;0;2;4;2;B01
200900000368;0;7;0;0;2;4;2;C01
200900000368;0;10;0;0;2;1;2;A01
200900000369;0;7;0;0;1;2;15;A01
200900000370;0;1;0;0;2;1;1;B01
200900000370;0;7;0;0;2;8;22;A01
200900000371;0;10;0;0;2;3;2;B01
200900000371;0;33;0;0;2;1;2;A01
200900000372;0;7;0;0;2;8;11;B01
200900000372;0;33;0;0;2;8;3;A01
200900000373;0;7;0;0;1;1;1;A01
200900000374;0;31;0;0;0;0;0;A01
200900000375;1;2;0;0;1;0;1;Z01
200900000376;0;7;0;0;1;7;1;A01
200900000377;0;31;0;0;0;0;21;A01
200900000378;0;32;0;0;1;2;7;A01
200900000379;0;32;0;0;1;3;17;A01
200900000380;0;7;0;4;2;4;1;B01
200900000380;0;7;0;0;2;2;14;A01
200900000381;0;7;0;0;2;6;11;A01
200900000381;0;33;0;0;2;7;3;B01
200900000382;0;10;0;0;2;1;2;A01
200900000382;0;7;0;0;2;4;23;C01
200900000382;0;7;0;0;2;4;23;B01
200900000383;0;30;0;0;2;2;2;A01
200900000383;0;7;0;0;2;4;20;B01
200900000384;0;7;0;0;1;3;1;A01
200900000385;0;32;0;0;0;8;1;A01
200900000386;0;7;0;0;1;3;7;A01
200900000387;1;7;0;0;1;3;1;A01
200900000388;0;38;29;0;1;5;7;A01
200900000389;0;7;0;0;1;5;20;A01
200900000390;0;2;0;0;2;7;15;A01
200900000390;0;37;45;0;2;1;7;B01
200900000391;0;1;0;0;2;1;17;B01
200900000391;0;7;0;0;2;8;17;A01
200900000392;0;2;0;0;2;8;7;A01
200900000392;0;7;0;0;2;2;16;B01
